model,count,mae,rmse,exact_acc,within_0_5_acc,within_1_0_acc,like_acc,precision,recall,f1
SVD++,9988,0.718736,0.912805,0.428314,0.428314,0.740589,0.620144,0.843676,0.387446,0.531026
基于物品的协同过滤,9988,0.72214,0.922171,0.431918,0.431918,0.736884,0.623949,0.832837,0.403499,0.543621
图卷积网络,9988,0.732649,0.928787,0.418402,0.418402,0.727773,0.606928,0.829129,0.367605,0.509373
带偏置矩阵分解,9988,0.734968,0.930994,0.415699,0.415699,0.725471,0.602623,0.82881,0.358045,0.500063
电影平均分,9988,0.805682,1.014071,0.376552,0.380356,0.675911,0.548358,0.790986,0.253247,0.383659
