model,valid_mae,valid_rmse,valid_exact_acc,valid_within_0_5_acc,valid_within_1_0_acc,valid_like_acc,valid_precision,valid_recall,valid_f1,test_mae,test_rmse,test_exact_acc,test_within_0_5_acc,test_within_1_0_acc,test_like_acc,test_precision,test_recall,test_f1
ItemMean,0.81337,1.020164,0.369443,0.373248,0.676312,0.548959,0.792453,0.256881,0.387991,0.805682,1.014071,0.376552,0.380356,0.675911,0.548358,0.790986,0.253247,0.383659
UserMean,0.826763,1.0311,0.363036,0.364938,0.668803,0.520324,0.789593,0.188343,0.304139,0.827993,1.031244,0.362135,0.363236,0.6666,0.519023,0.779035,0.186328,0.300728
GlobalMean,0.93985,1.118826,0.345414,0.345414,0.615238,0.443432,0.0,0.0,0.0,0.935132,1.115189,0.348018,0.348018,0.620645,0.444934,0.0,0.0,0.0
